Item type,Dataset Size,Dataset Shape,Dataset Type,Item name/path
Group,N/A,N/A,N/A,AwakeEventData
Group,N/A,N/A,N/A,AwakeEventData/AIRTR01
Group,N/A,N/A,N/A,AwakeEventData/AIRTR01/Acq
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma
Dataset,1600,(1600,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection
Dataset,1920000,(1200, 1600),int16,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjSigma
Dataset,1200,(1200,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.07TCC4.AWAKECAM07
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjSigma
Dataset,1600,(1600,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection
Dataset,1920000,(1200, 1600),int16,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjSigma
Dataset,1200,(1200,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.11TCC4.AWAKECAM11
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamIntensity
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogX
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogY
Dataset,1,(1,),int32,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/height
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjSigma
Dataset,1280,(1280,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection
Dataset,1228800,(960, 1280),int16,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageRawData
Dataset,1,(1,),int64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageTimeStamp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityAvg
Dataset,1000,(1000,),int32,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityHistogram
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityRMS
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/pixelSize
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAmp
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjSigma
Dataset,960,(960,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjection
Dataset,1,(1,),int32,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/width
Group,N/A,N/A,N/A,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime
Dataset,1,(1,),float64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime
Dataset,1,(1,),int64,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain
Dataset,1,(1,),|S2,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/triggerMode
Group,N/A,N/A,N/A,AwakeEventData/BPM.AWAKE.TT41
Group,N/A,N/A,N/A,AwakeEventData/BPM.AWAKE.TT41/Acquisition
Dataset,32,(32,),|S15,AwakeEventData/BPM.AWAKE.TT41/Acquisition/bpmNames
Dataset,1,(1,),|S5,AwakeEventData/BPM.AWAKE.TT41/Acquisition/dynDestination
Dataset,0,(0,),Error: No NumPy equivalent for TypeBitfieldID exists,AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk
Dataset,32,(32,),float32,AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosition
Dataset,1,(1,),int16,AwakeEventData/BPM.AWAKE.TT41/Acquisition/nbOfBpms
Dataset,0,(0,),Error: No NumPy equivalent for TypeBitfieldID exists,AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk
Dataset,32,(32,),float32,AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosition
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412354_FILTER
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412354_FILTER/Acquisition
Dataset,1,(1,),int32,AwakeEventData/BTV.TT41.412354_FILTER/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412426_FWHEEL
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition
Dataset,1,(1,),int32,AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412426_MASK_H
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition
Dataset,1,(1,),int32,AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412426_MASK_V
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition
Dataset,1,(1,),int32,AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412442_FWHEEL
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition
Dataset,1,(1,),int32,AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412442_MASK_H
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition
Dataset,1,(1,),int32,AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412442_MASK_V
Group,N/A,N/A,N/A,AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition
Dataset,1,(1,),int32,AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/EMETER02
Group,N/A,N/A,N/A,AwakeEventData/EMETER02/Acq
Dataset,1,(),bool,AwakeEventData/EMETER02/Acq/outOfRange
Dataset,1,(1,),float32,AwakeEventData/EMETER02/Acq/value
Dataset,1,(1,),|S1,AwakeEventData/EMETER02/Acq/value_units
Group,N/A,N/A,N/A,AwakeEventData/EMETER03
Group,N/A,N/A,N/A,AwakeEventData/EMETER03/Acq
Dataset,1,(),bool,AwakeEventData/EMETER03/Acq/outOfRange
Dataset,1,(1,),float32,AwakeEventData/EMETER03/Acq/value
Dataset,1,(1,),|S1,AwakeEventData/EMETER03/Acq/value_units
Group,N/A,N/A,N/A,AwakeEventData/EMETER04
Group,N/A,N/A,N/A,AwakeEventData/EMETER04/Acq
Dataset,1,(),bool,AwakeEventData/EMETER04/Acq/outOfRange
Dataset,1,(1,),float32,AwakeEventData/EMETER04/Acq/value
Dataset,1,(1,),|S1,AwakeEventData/EMETER04/Acq/value_units
Group,N/A,N/A,N/A,AwakeEventData/EMETER05
Group,N/A,N/A,N/A,AwakeEventData/EMETER05/Acq
Dataset,1,(),bool,AwakeEventData/EMETER05/Acq/outOfRange
Dataset,1,(1,),float32,AwakeEventData/EMETER05/Acq/value
Dataset,1,(1,),|S1,AwakeEventData/EMETER05/Acq/value_units
Group,N/A,N/A,N/A,AwakeEventData/FWHEEL01
Group,N/A,N/A,N/A,AwakeEventData/FWHEEL01/Acq
Dataset,1,(1,),|S6,AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription
Dataset,1,(1,),|S6,AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription
Dataset,1,(1,),int32,AwakeEventData/FWHEEL01/Acq/status
Group,N/A,N/A,N/A,AwakeEventData/GD_BPM.AWAKE.TRIUMF
Group,N/A,N/A,N/A,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS
Dataset,14,(14,),|S18,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/bpmNames
Dataset,14,(14,),float32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/horPos
Dataset,1,(1,),int32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/nbOfBpms
Dataset,1,(1,),Error: No NumPy equivalent for TypeBitfieldID exists,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/posOK
Dataset,14,(14,),int32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma
Dataset,14,(14,),float32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/verPos
Group,N/A,N/A,N/A,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition
Dataset,14,(14,),|S18,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames
Dataset,14,(14,),float32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPos
Dataset,14,(14,),float32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPosSelected
Dataset,1,(1,),int32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/nbOfBpms
Dataset,1,(1,),Error: No NumPy equivalent for TypeBitfieldID exists,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOK
Dataset,0,(0,),Error: No NumPy equivalent for TypeBitfieldID exists,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected
Dataset,14,(14,),float32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigma
Dataset,14,(14,),int32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigmaSelected
Dataset,14,(14,),float32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPos
Dataset,14,(14,),float32,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPosSelected
Group,N/A,N/A,N/A,AwakeEventData/LSSE2
Group,N/A,N/A,N/A,AwakeEventData/LSSE2/Acq
Dataset,1,(1,),int32,AwakeEventData/LSSE2/Acq/position
Group,N/A,N/A,N/A,AwakeEventData/LSSP2
Group,N/A,N/A,N/A,AwakeEventData/LSSP2/Acq
Dataset,1,(1,),int32,AwakeEventData/LSSP2/Acq/position
Group,N/A,N/A,N/A,AwakeEventData/MPP-TSG41-MIRROR1-H
Group,N/A,N/A,N/A,AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition
Dataset,1,(1,),int32,AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/MPP-TSG41-MIRROR1-V
Group,N/A,N/A,N/A,AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition
Dataset,1,(1,),int32,AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/MPP-TSG41-WHEEL1-BI
Group,N/A,N/A,N/A,AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition
Dataset,1,(1,),int32,AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position
Group,N/A,N/A,N/A,AwakeEventData/MPP-VACTRANS-CTR
Group,N/A,N/A,N/A,AwakeEventData/MPP-VACTRANS-CTR/Acquisition
Dataset,1,(1,),float64,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition
Dataset,1,(1,),int32,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position
Dataset,1,(),bool,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/stepperBusy
Dataset,1,(),bool,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchIn
Dataset,1,(),bool,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut
Group,N/A,N/A,N/A,AwakeEventData/MPP-VACTRANS-OTR
Group,N/A,N/A,N/A,AwakeEventData/MPP-VACTRANS-OTR/Acquisition
Dataset,1,(1,),float64,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition
Dataset,1,(1,),int32,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position
Dataset,1,(),bool,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy
Dataset,1,(),bool,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn
Dataset,1,(),bool,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchOut
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/rightLimitSwitchReached
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11
Group,N/A,N/A,N/A,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/leftLimitSwitchReached
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/position
Dataset,1,(),|S128,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/rightLimitSwitchReached
